City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
284,Hingatungan,PH,10.58,125.19,80.33,74,100,3.56,overcast clouds
285,Salym,RU,60.06,71.48,26.64,96,99,8.9,overcast clouds
286,Cayenne,GF,4.93,-52.33,84.2,74,20,8.05,moderate rain
287,Pak Phanang,TH,8.35,100.2,79.61,82,58,2.55,broken clouds
288,Lakes Entrance,AU,-37.88,147.98,71.01,53,76,7.34,light rain
289,Newtownards,GB,54.59,-5.69,43.0,81,0,3.36,clear sky
290,Avera,US,33.19,-82.53,64.4,22,40,3.36,scattered clouds
291,Brigham City,US,41.51,-112.02,66.99,18,1,5.82,clear sky
292,Namibe,AO,-15.2,12.15,70.25,69,0,11.63,clear sky
293,Winnemucca,US,40.97,-117.74,66.2,12,1,3.36,clear sky
294,Coahuayana,MX,18.73,-103.68,84.2,39,5,9.17,clear sky
295,Ishigaki,JP,24.34,124.16,72.77,74,91,31.34,overcast clouds
296,La Palma,US,33.85,-118.05,73.99,60,1,3.36,haze
297,Rehoboth,NA,-23.32,17.08,66.22,34,100,10.4,overcast clouds
298,Fenoarivo Atsinanana,MG,-17.37,49.42,69.22,78,36,4.74,scattered clouds
299,Cuenca,EC,-2.88,-78.98,78.8,15,20,6.93,few clouds
300,Kudahuvadhoo,MV,2.67,72.89,83.05,70,71,7.07,broken clouds
301,Shellbrook,CA,53.22,-106.4,48.2,61,90,2.24,overcast clouds
302,Nishihara,JP,26.18,127.76,71.6,49,40,16.11,scattered clouds
303,Padang,ID,-0.95,100.35,75.45,83,100,5.32,moderate rain
304,Port Macquarie,AU,-31.43,152.92,60.01,95,2,3.8,clear sky
305,Ntcheu,MW,-14.82,34.64,72.41,53,0,3.58,clear sky
306,Puerto Escondido,MX,15.85,-97.07,86.0,70,5,10.29,clear sky
307,Alakurtti,RU,66.97,30.35,37.99,92,70,4.0,broken clouds
308,Kaeo,NZ,-35.1,173.78,66.0,92,100,10.0,overcast clouds
309,Kruisfontein,ZA,-34.0,24.73,63.0,92,7,1.99,clear sky
310,Mount Gambier,AU,-37.83,140.77,57.2,93,90,11.41,overcast clouds
311,Port Hedland,AU,-20.32,118.57,71.6,88,0,9.17,clear sky
312,Le Vauclin,MQ,14.55,-60.84,84.2,74,0,11.41,clear sky
313,Bandarbeyla,SO,9.49,50.81,76.42,80,14,17.78,few clouds
314,Watertown,US,42.37,-71.18,44.6,35,40,17.22,scattered clouds
315,Paita,PE,-5.09,-81.11,75.2,60,0,18.34,clear sky
316,Fort Nelson,CA,58.81,-122.7,10.4,85,90,5.82,light snow
317,Rio Cuarto,AR,-33.13,-64.35,86.0,27,0,24.16,clear sky
318,La Rioja,ES,42.25,-2.5,51.8,66,75,5.82,broken clouds
319,Beringovskiy,RU,63.05,179.32,18.84,85,100,7.54,overcast clouds
320,Malanje,AO,-9.54,16.34,68.11,89,28,4.29,scattered clouds
321,Wageningen,NL,51.97,5.67,48.0,81,20,13.87,few clouds
322,Tsarychanka,UA,48.94,34.48,45.28,93,0,5.48,clear sky
323,Yankton,US,42.87,-97.4,72.0,24,1,6.93,clear sky
324,Churapcha,RU,62.0,132.43,-11.0,89,47,5.28,scattered clouds
325,Dalvik,IS,65.97,-18.53,37.4,69,20,9.17,few clouds
326,Kyrksaeterora,NO,63.29,9.09,46.4,80,20,9.17,few clouds
327,Kulhudhuffushi,MV,6.62,73.07,82.15,65,0,1.9,clear sky
328,Awbari,LY,26.59,12.78,64.63,42,57,5.14,broken clouds
329,Vao,NC,-22.67,167.48,74.14,88,100,6.85,moderate rain
330,Ponta Do Sol,PT,32.67,-17.1,68.0,68,75,17.22,broken clouds
331,Vila Velha,BR,-20.33,-40.29,72.0,78,40,3.36,scattered clouds
332,Narsaq,GL,60.92,-46.05,41.0,75,75,19.46,light rain
333,Lamar,US,33.67,-95.58,75.99,33,1,10.29,clear sky
334,Tutoia,BR,-2.76,-42.27,75.2,94,90,5.82,overcast clouds
335,Mahajanga,MG,-15.72,46.32,77.0,78,20,2.24,few clouds
336,Kimberley,ZA,-28.73,24.76,68.0,68,64,5.82,broken clouds
337,Chernyshevskiy,RU,63.01,112.47,13.17,98,98,3.78,overcast clouds
338,Ziniare,BF,12.58,-1.3,87.8,29,2,4.7,clear sky
339,Clearwater,US,27.97,-82.8,79.0,46,0,8.05,clear sky
340,Arman,RU,59.7,150.17,35.19,87,100,33.26,overcast clouds
341,Yar-Sale,RU,66.83,70.83,24.98,98,100,7.78,light snow
342,Laguna,US,38.42,-121.42,73.0,45,1,3.36,clear sky
343,Fukue,JP,32.69,128.84,54.77,72,0,25.57,clear sky
344,Rudnyy,KZ,52.96,63.12,28.4,100,90,4.47,fog
345,Stephenville,US,32.22,-98.2,75.99,23,1,9.17,clear sky
346,Auki,SB,-8.77,160.7,79.12,83,67,3.58,broken clouds
347,Bathsheba,BB,13.22,-59.52,84.2,70,40,18.34,scattered clouds
348,Talaya,RU,61.38,152.75,12.31,94,100,7.09,light snow
349,Hobyo,SO,5.35,48.53,80.71,82,86,13.47,moderate rain
350,Ngong,KE,-1.36,36.66,68.0,77,75,5.82,broken clouds
351,Kuah,MY,6.33,99.84,77.0,94,20,7.45,light rain
352,Isla Mujeres,MX,21.23,-86.73,82.4,65,90,18.34,overcast clouds
353,Kozluk,TR,38.19,41.49,62.6,67,75,5.82,broken clouds
354,Kirishi,RU,59.45,32.02,48.0,99,100,8.95,overcast clouds
355,Talnakh,RU,69.49,88.4,-7.6,83,40,2.24,scattered clouds
356,Barvinkove,UA,48.91,37.02,47.71,87,70,5.5,broken clouds
357,Coihaique,CL,-45.58,-72.07,68.0,45,75,8.05,broken clouds
358,Tallahassee,US,30.44,-84.28,71.01,22,20,5.82,smoke
359,Ordu,TR,40.91,37.68,57.2,100,75,4.7,broken clouds
360,Jutai,BR,-5.18,-68.9,89.6,58,86,0.54,overcast clouds
361,Maxixe,MZ,-23.86,35.35,77.0,78,0,3.36,clear sky
362,Camacha,PT,33.08,-16.33,66.2,63,40,14.99,scattered clouds
363,Fortuna,US,40.6,-124.16,61.0,58,1,3.91,clear sky
