City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
568,Mareeba,AU,84.99,scattered clouds,-17.0,145.43,Trinity Plains Tourist Park
575,Chau Doc,VN,75.22,broken clouds,10.7,105.12,JADE AND SAPPHIRE GUESTHOUSE
582,Tiarei,PF,84.2,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
588,Cabedelo,BR,80.6,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
589,Pontian Kecil,MY,75.2,heavy intensity rain,1.48,103.39,SUNFLOWER EXPRESS HOTEL
595,Daru,PG,81.66,light rain,-9.08,143.21,New century hotel
598,Nicoya,CR,77.0,light rain,10.15,-85.45,Guayacan Real
602,Tucuman,AR,89.6,clear sky,-26.82,-65.22,Dallas Hotel Tucuman
605,Ewa Beach,US,87.8,broken clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
612,Dunmore Town,BS,76.19,overcast clouds,25.5,-76.65,Coral Sands Hotel
613,Biak,ID,78.96,broken clouds,-0.91,122.88,Kost Ariz
618,Todos Santos,MX,82.99,clear sky,23.45,-110.22,Hotel California Todos Santos
620,Ramachandrapuram,IN,75.58,clear sky,16.85,82.02,RR Grand Lodge
621,Celestun,MX,77.5,scattered clouds,20.87,-90.4,Posada Lilia
625,Pedernales,DO,78.84,moderate rain,18.04,-71.74,Hotel Costa Marina
626,Bangad,PH,77.0,overcast clouds,15.5,121.03,Golden Rosas Retreat House and Catering Services
632,Gustavo Diaz Ordaz,MX,80.01,clear sky,26.23,-98.58,Chikas En El Hotel
636,Laguna,US,80.01,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
643,Jacareacanga,BR,75.02,moderate rain,-6.22,-57.75,Casa do Ian😎
644,Puerto El Triunfo,SV,86.0,scattered clouds,13.28,-88.55,Hotel Jardin
656,Kovur,IN,78.58,overcast clouds,14.48,79.98,Pleasant Stay
662,Coruripe,BR,78.04,overcast clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
664,Key West,US,77.0,few clouds,24.56,-81.78,Fairfield Inn & Suites by Marriott Key West
666,Coahuayana,MX,89.6,clear sky,18.73,-103.68,Hotel Los Arcos
671,Lucea,JM,78.8,overcast clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
676,Bubaque,GW,84.09,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
681,Teacapan,MX,83.37,clear sky,22.55,-105.75,Hotel los Mangos
683,Kasangulu,CD,84.2,scattered clouds,-4.59,15.17,Hôtel le Relais
